x,y
12958917.771737624,4843097.66366349
12951815.810863994,4847766.797114384
12973363.92469685,4830841.330346979
12959736.303953428,4850187.424002836
12984981.783353489,4854084.208350925
12959007.383927712,4872528.500618682
12969961.11050228,4853354.742059598
12964162.144268388,4850461.932371099
12978828.821138872,4872193.327457943
12958340.357538879,4886097.335311032
12944841.088168344,4843284.114377681
12955207.04783152,4863806.054875368
12949929.836050976,4856370.63233437
12973906.829853447,4871077.958594161
12966770.137298692,4836726.2213034155
12942628.835927809,4875113.131760287
12977352.613371463,4830986.136815791
12968248.014858464,4851993.775956495
12950151.695796125,4831061.871436389
12963902.101937896,4859869.730114067
12958945.712929813,4871367.293958578
12977603.527503712,4832293.399982454
12964213.462553643,4851104.561138479
12952754.0115324,4862837.48038584
12946850.071018688,4844084.906258222
12952453.33758777,4849230.621348239
12987386.506993605,4848573.462230519
12952483.171211302,4877769.727407295
12970305.533006793,4853584.345453385
12955855.483865391,4861571.0814179275
12968345.196773926,4853991.3167122165
12968378.926579636,4846052.143870167
12987287.54396629,4919573.380777321
13007276.517011093,4919413.247874045
12945683.220116192,4861661.719886115
12946914.636323348,4830974.262606209
12952311.961834462,4875624.262330565
12924075.216397293,4849342.183134092
12950014.661502961,4860141.891879496
12959461.456130657,4860469.251077196
12962857.257197307,4847431.4432742465
12969915.358191565,4854399.9012679495
12962497.138644593,4861097.712222052
12953065.817426112,4849582.284590042
12939257.636468625,4896908.030896823
12948530.772690685,4851058.129128932
12964695.253309796,4851055.807534146
12945546.297142517,4848901.165952958
12946107.236056624,4861368.455142569
12957782.98084848,4843151.307756876
12958343.585804112,4862494.790072708
12961062.898325212,4859006.965618742
12943295.083080206,4855374.185577703
12946790.403771624,4875260.039099138
12945484.180866655,4860112.990676371
12943804.81502855,4851129.808634669
12958490.41621247,4852018.300142134
12948787.252797473,4867306.321201536
12973402.441240663,4852920.658098823
12953444.30369481,4851412.613992701
12962163.959408648,4859493.740883613
12950312.21850185,4861501.795839185
12940938.449460113,4854227.321230845
